tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
9312,2020-05-30 15:39:20.0600,2020-05-30 18:14:32.6600,3194,McGinley Square,40.7253399253558,-74.06762212514877,3185,City Hall,40.7177325,-74.043845,42136,Customer,1996,2
2953,2020-05-30 15:40:20.0230,2020-05-30 16:29:33.3840,3192,Liberty Light Rail,40.7112423,-74.0557013,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42171,Customer,1990,1
9246,2020-05-30 15:40:31.1080,2020-05-30 18:14:37.4970,3194,McGinley Square,40.7253399253558,-74.06762212514877,3185,City Hall,40.7177325,-74.043845,42343,Customer,1992,1
269,2020-05-30 15:40:46.1370,2020-05-30 15:45:15.9060,3481,York St,40.71649,-74.04105,3267,Morris Canal,40.7124188237569,-74.03852552175522,42580,Subscriber,1993,2
2063,2020-05-30 15:40:46.9730,2020-05-30 16:15:10.1130,3681,Grand St,40.71517767732029,-74.03768330812454,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42379,Customer,1969,0
264,2020-05-30 15:40:49.2970,2020-05-30 15:45:14.0610,3481,York St,40.71649,-74.04105,3267,Morris Canal,40.7124188237569,-74.03852552175522,42264,Subscriber,1985,1
937,2020-05-30 15:41:18.0640,2020-05-30 15:56:55.2600,3184,Paulus Hook,40.7141454,-74.0335519,3209,Brunswick St,40.7241765,-74.0506564,42275,Subscriber,1984,1
3804,2020-05-30 15:41:39.0220,2020-05-30 16:45:03.5800,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42505,Subscriber,1991,1
2789,2020-05-30 15:42:07.6840,2020-05-30 16:28:37.6670,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42300,Customer,1969,0
2747,2020-05-30 15:42:35.9480,2020-05-30 16:28:22.9880,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,29088,Customer,1969,0
837,2020-05-30 15:42:53.1600,2020-05-30 15:56:50.3290,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42322,Customer,1991,2
1977,2020-05-30 15:43:03.3960,2020-05-30 16:16:00.5660,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42499,Customer,1969,0
2708,2020-05-30 15:43:38.9370,2020-05-30 16:28:47.8270,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42114,Subscriber,1983,1
1911,2020-05-30 15:43:53.3850,2020-05-30 16:15:44.9020,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,42545,Subscriber,1981,1
