tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1099,2020-11-08 15:52:19.2470,2020-11-08 16:10:38.6350,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42364,Subscriber,1990,2
3641,2020-11-08 15:52:25.6790,2020-11-08 16:53:07.2150,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,44721,Customer,1969,0
1087,2020-11-08 15:52:29.7220,2020-11-08 16:10:36.7690,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,46609,Subscriber,1980,1
1036,2020-11-08 15:52:50.1530,2020-11-08 16:10:06.8500,3639,Harborside,40.7192517,-74.034234,3205,JC Medical Center,40.71653978099194,-74.0496379137039,28801,Customer,1969,0
652,2020-11-08 15:53:05.9410,2020-11-08 16:03:58.8040,3185,City Hall,40.7177325,-74.043845,3279,Dixon Mills,40.721630142638354,-74.04996782541275,42368,Subscriber,1965,1
680,2020-11-08 15:53:18.0210,2020-11-08 16:04:38.9170,3638,Washington St,40.7242941,-74.0354826,3213,Van Vorst Park,40.71848892,-74.047726625,44358,Subscriber,1991,2
3592,2020-11-08 15:53:32.3440,2020-11-08 16:53:24.8540,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,44385,Customer,1969,0
480,2020-11-08 15:54:11.3370,2020-11-08 16:02:11.7750,3209,Brunswick St,40.7241765,-74.0506564,3203,Hamilton Park,40.727595966,-74.044247311,44603,Subscriber,1990,1
934,2020-11-08 15:54:21.8640,2020-11-08 16:09:56.7830,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3638,Washington St,40.7242941,-74.0354826,42436,Customer,1969,0
242,2020-11-08 15:54:40.5860,2020-11-08 15:58:43.5330,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,43467,Subscriber,1966,1
